doc_id,document_type,field_name,expected_value
di_0001,DI,document_type,DI
di_0001,DI,document_number,25/1419610-4
di_0001,DI,registration_date,06/05/2025
di_0001,DI,importer_name,BRAVO IMPORTADORA DE PECAS LTDA
di_0001,DI,importer_cnpj,11.755.002/6577-44
di_0001,DI,declarant_cnpj,28.714.227/1333-20
di_0001,DI,ncm,40169300
di_0001,DI,container_number,NZJO8685702
di_0001,DI,gross_weight_kg,"10.102,863"
di_0001,DI,bl_number,HBL45NQ4FMYZ
di_0001,DI,country_origin,ITALIA
di_0001,DI,customs_value_brl,"619.153,26"
di_0001,DI,port_terminal,PORTO DEMONSTRATIVO
di_0002,DI,document_type,DI
di_0002,DI,document_number,26/5211234-1
di_0002,DI,registration_date,24/01/2026
di_0002,DI,importer_name,DELTA LOGISTICA E IMPORTACAO LTDA
di_0002,DI,importer_cnpj,05.134.662/6369-20
di_0002,DI,declarant_cnpj,99.682.111/8836-56
di_0002,DI,ncm,87089990
di_0002,DI,container_number,LSZE4778025
di_0002,DI,gross_weight_kg,"9.955,323"
di_0002,DI,bl_number,MBLMIJC725TB
di_0002,DI,country_origin,ESTADOS UNIDOS
di_0002,DI,customs_value_brl,"777.368,57"
di_0002,DI,port_terminal,PORTO DEMONSTRATIVO
di_0003,DI,document_type,DI
di_0003,DI,document_number,26/2381132-8
di_0003,DI,registration_date,03/07/2025
di_0003,DI,importer_name,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA
di_0003,DI,importer_cnpj,94.430.840/9111-15
di_0003,DI,declarant_cnpj,44.562.048/1776-74
di_0003,DI,ncm,73181500
di_0003,DI,container_number,KVXW3116059
di_0003,DI,gross_weight_kg,"13.554,334"
di_0003,DI,bl_number,MSCUBVUURCRJ0
di_0003,DI,country_origin,MEXICO
di_0003,DI,customs_value_brl,"286.637,24"
di_0003,DI,port_terminal,RECINTO ALFANDEGADO MODELO
di_0004,DI,document_type,DI
di_0004,DI,document_number,26/8797657-0
di_0004,DI,registration_date,28/12/2025
di_0004,DI,importer_name,DELTA LOGISTICA E IMPORTACAO LTDA
di_0004,DI,importer_cnpj,56.944.932/9049-54
di_0004,DI,declarant_cnpj,19.977.352/5874-02
di_0004,DI,ncm,84713012
di_0004,DI,container_number,WQTO9351160
di_0004,DI,gross_weight_kg,"5.897,844"
di_0004,DI,bl_number,ONEYXC3OW76OW
di_0004,DI,country_origin,ALEMANHA
di_0004,DI,customs_value_brl,"200.027,39"
di_0004,DI,port_terminal,TERMINAL PORTUARIO SINTETICO 01
di_0005,DI,document_type,DI
di_0005,DI,document_number,26/3081710-2
di_0005,DI,registration_date,08/10/2025
di_0005,DI,importer_name,NOVA ROTA COMERCIO EXTERIOR LTDA
di_0005,DI,importer_cnpj,58.242.293/1564-26
di_0005,DI,declarant_cnpj,67.495.935/7841-94
di_0005,DI,ncm,85044040
di_0005,DI,container_number,WTXT6364489
di_0005,DI,gross_weight_kg,"27.273,237"
di_0005,DI,bl_number,HBLHX1ETKI1W
di_0005,DI,country_origin,CHINA
di_0005,DI,customs_value_brl,"678.891,45"
di_0005,DI,port_terminal,RECINTO ALFANDEGADO MODELO
di_0006,DI,document_type,DI
di_0006,DI,document_number,25/5017111-4
di_0006,DI,registration_date,22/08/2025
di_0006,DI,importer_name,NOVA ROTA COMERCIO EXTERIOR LTDA
di_0006,DI,importer_cnpj,45.178.628/3948-83
di_0006,DI,declarant_cnpj,21.286.799/9294-40
di_0006,DI,ncm,94036000
di_0006,DI,container_number,DWZE8863863
di_0006,DI,gross_weight_kg,"29.922,416"
di_0006,DI,bl_number,SUDU2H8NA8GET
di_0006,DI,country_origin,MEXICO
di_0006,DI,customs_value_brl,"131.242,07"
di_0006,DI,port_terminal,RECINTO ALFANDEGADO MODELO
di_0007,DI,document_type,DI
di_0007,DI,document_number,26/1391747-9
di_0007,DI,registration_date,03/06/2025
di_0007,DI,importer_name,BRAVO IMPORTADORA DE PECAS LTDA
di_0007,DI,importer_cnpj,35.018.987/2382-86
di_0007,DI,declarant_cnpj,06.077.114/0178-87
di_0007,DI,ncm,40169300
di_0007,DI,container_number,XMKP6486528
