doc_id,document_type,document_number,registration_date,importer_name,importer_cnpj,declarant_cnpj,ncm,container_number,gross_weight_kg,bl_number,country_origin,customs_value_brl,port_terminal
di_0001,DI,25/1419610-4,06/05/2025,BRAVO IMPORTADORA DE PECAS LTDA,11.755.002/6577-44,28.714.227/1333-20,40169300,NZJO8685702,"10.102,863",HBL45NQ4FMYZ,ITALIA,"619.153,26",PORTO DEMONSTRATIVO
di_0002,DI,26/5211234-1,24/01/2026,DELTA LOGISTICA E IMPORTACAO LTDA,05.134.662/6369-20,99.682.111/8836-56,87089990,LSZE4778025,"9.955,323",MBLMIJC725TB,ESTADOS UNIDOS,"777.368,57",PORTO DEMONSTRATIVO
di_0003,DI,26/2381132-8,03/07/2025,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,94.430.840/9111-15,44.562.048/1776-74,73181500,KVXW3116059,"13.554,334",MSCUBVUURCRJ0,MEXICO,"286.637,24",RECINTO ALFANDEGADO MODELO
di_0004,DI,26/8797657-0,28/12/2025,DELTA LOGISTICA E IMPORTACAO LTDA,56.944.932/9049-54,19.977.352/5874-02,84713012,WQTO9351160,"5.897,844",ONEYXC3OW76OW,ALEMANHA,"200.027,39",TERMINAL PORTUARIO SINTETICO 01
di_0005,DI,26/3081710-2,08/10/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,58.242.293/1564-26,67.495.935/7841-94,85044040,WTXT6364489,"27.273,237",HBLHX1ETKI1W,CHINA,"678.891,45",RECINTO ALFANDEGADO MODELO
di_0006,DI,25/5017111-4,22/08/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,45.178.628/3948-83,21.286.799/9294-40,94036000,DWZE8863863,"29.922,416",SUDU2H8NA8GET,MEXICO,"131.242,07",RECINTO ALFANDEGADO MODELO
di_0007,DI,26/1391747-9,03/06/2025,BRAVO IMPORTADORA DE PECAS LTDA,35.018.987/2382-86,06.077.114/0178-87,40169300,XMKP6486528,"26.122,107",ONEYDS9GVMB9K,ITALIA,"53.996,59",RECINTO ALFANDEGADO MODELO
di_0008,DI,26/2756023-7,27/02/2026,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,14.013.316/8742-90,79.435.078/2317-79,73181500,TGNF2312107,"18.993,270",MSCUJYLERX61P,CHINA,"124.864,81",TERMINAL PORTUARIO SINTETICO 01
di_0009,DI,26/2447065-3,05/08/2025,COSTA AZUL TRADING S A,14.485.043/0880-45,85.851.655/2738-86,85044040,COZW3714438,"16.347,841",MBLFVC3OCMPZ,CHINA,"809.182,25",PORTO DEMONSTRATIVO
di_0010,DI,25/2916529-1,15/04/2026,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,32.796.784/3345-91,30.146.524/5251-31,39269090,GTGN4908324,"10.128,370",COSUVPDBEXXX5,COREIA DO SUL,"718.733,76",TERMINAL PORTUARIO SINTETICO 01
